,Exoplanet,Host star,a,Ds,Dp,Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
0,30 Ari B b,30 Ari B,1.01,,1.13,0.0,1.13,,96.05710253
1,55 Cnc f,55 Cnc,0.792,,0.96,0.0,0.96,,88.66260776
2,7 CMa b,7 CMa,1.9,,2.3,0.0,2.3,,88.77942279
3,BD+14 4559 b,BD+14 4559,0.78,,0.86,0.0,0.86,,97.47263432
4,GJ 3293 c,GJ 3293,0.364,,0.4,0.0,0.4,,97.7975431
5,GJ 3323 c,GJ 3323,0.1264,,0.12,0.0,0.12,,113.2015517
6,GJ 514 b,GJ 514,0.422,,0.5,0.0,0.5,,90.70453448
7,GJ 876 e,GJ 876,0.3343,,0.3,0.0,0.3,,119.7572112
8,HAT-P-13 c,HAT-P-13,1.188,,1.56,0.0,1.56,,81.84240716
9,HD 100777 b,HD 100777,1.03,,1.04,0.0,1.04,,106.4364639
10,HD 10442 b,HD 10442,2.03,,1.97,0.0,1.97,,110.7430203
11,HD 10697 b,HD 10697,2.14,,1.79,0.0,1.79,,128.483481
12,HD 108874 b,HD 108874,1.04,,1.05,0.0,1.05,,106.4463054
13,HD 109286 b,HD 109286,1.259,,1.09,0.0,1.09,,124.1325807
14,HD 113538 b,HD 113538,0.71,,0.65,0.0,0.65,,117.3901194
15,HD 125612 b,HD 125612,1.2,,1.05,0.0,1.05,,122.8226601
16,HD 12661 b,HD 12661,0.8079,,1.11,0.0,1.11,,78.22060694
17,HD 128356 b,HD 128356,0.87,,0.85,0.0,0.85,,109.9985294
18,HD 137388 b,HD 137388,0.89,,0.82,0.0,0.82,,116.6440812
19,HD 137496 c,HD 137496,1.2163,,1.59,0.0,1.59,,82.21103855
20,HD 142415 b,HD 142415,1.06,,1.04,0.0,1.04,,109.536555
21,HD 145934 b,HD 145934,4.6,,5.38,0.0,5.38,,91.88870017
22,HD 148164 b,HD 148164,0.993,,1.34,0.0,1.34,,79.63995432
23,HD 153950 b,HD 153950,1.28,,1.28,0.0,1.28,,107.4698276
24,HD 154857 b,HD 154857,1.291,,1.76,0.0,1.76,,78.83156103
25,HD 156411 b,HD 156411,1.88,,2.16,0.0,2.16,,93.53855364
26,HD 159243 c,HD 159243,0.8,,1.12,0.0,1.12,,76.76416256
27,HD 159868 b,HD 159868,2.3,,1.97,0.0,1.97,,125.4723875
28,HD 1605 c,HD 1605,3.584,,3.49,0.0,3.49,,110.3644304
29,HD 160691 b,HD 160691,1.535,,1.38,0.0,1.38,,119.540714
30,HD 164509 b,HD 164509,0.875,,1.06,0.0,1.06,,88.71330107
31,HD 165155 b,HD 165155,1.13,,0.95,0.0,0.95,,127.8325318
32,HD 17674 b,HD 17674,1.42,,1.18,0.0,1.18,,129.3280976
33,HD 180617 b,HD 180617,0.3357,,0.45,0.0,0.45,,80.17249138
34,HD 183263 b,HD 183263,1.525,,1.29,0.0,1.29,,127.0476644
35,HD 188015 b,HD 188015,1.187,,1.13,0.0,1.13,,112.890872
36,HD 191939 g,HD 191939,0.812,,0.94,0.0,0.94,,92.8356383
37,HD 20782 b,HD 20782,1.3649,,1.13,0.0,1.13,,129.8102369
38,HD 20868 b,HD 20868,0.947,,0.79,0.0,0.79,,128.8277553
39,HD 210277 b,HD 210277,1.13,,1.07,0.0,1.07,,113.4961731
40,HD 218566 b,HD 218566,0.6875,,0.83,0.0,0.83,,89.01868249
41,HD 219415 b,HD 219415,3.2,,2.9,0.0,2.9,,118.587396
42,HD 222582 b,HD 222582,1.34,,1.13,0.0,1.13,,127.4420964
43,HD 24040 c,HD 24040,1.3,,1.39,0.0,1.39,,100.5113495
44,HD 28185 b,HD 28185,1.02,,1.03,0.0,1.03,,106.4264312
45,HD 31253 b,HD 31253,1.26,,1.71,0.0,1.71,,79.18829401
46,HD 34445 f,HD 34445,1.543,,1.38,0.0,1.38,,120.1637275
47,HD 38801 b,HD 38801,1.623,,2.03,0.0,2.03,,85.92292127
48,HD 40307 g,HD 40307,0.6069,,0.72,0.0,0.72,,90.58810884
49,HD 40979 b,HD 40979,0.85,,1.21,0.0,1.21,,75.49533343
50,HD 4203 b,HD 4203,1.17,,1.42,0.0,1.42,,88.54908329
51,HD 43197 b,HD 43197,0.92,,1.0,0.0,1.0,,98.87224138
52,HD 44219 b,HD 44219,1.19,,1.32,0.0,1.32,,96.8856779
53,HD 45364 b,HD 45364,0.6793,,0.89,0.0,0.89,,82.02725155
54,HD 45364 c,HD 45364,0.902,,0.89,0.0,0.89,,108.918859
55,HD 4732 c,HD 4732,4.6,,5.4,0.0,5.4,,91.54837165
56,HD 48265 b,HD 48265,1.814,,1.9,0.0,1.9,,102.6054038
57,HD 564 b,HD 564,1.2,,1.01,0.0,1.01,,127.6869239
58,HD 63765 b,HD 63765,0.94,,0.83,0.0,0.83,,121.7128168
59,HD 69830 d,HD 69830,0.645,,0.89,0.0,0.89,,77.88543685
60,HD 73534 b,HD 73534,2.99,,2.58,0.0,2.58,,124.5483661
61,HD 75898 b,HD 75898,1.19,,1.55,0.0,1.55,,82.50909344
62,HD 82943 b,HD 82943,1.151,,1.03,0.0,1.03,,120.0949238
63,HD 82943 c,HD 82943,0.7209,,1.03,0.0,1.03,,75.21844535
64,HD 92788 b,HD 92788,0.95,,1.05,0.0,1.05,,97.23460591
65,HD 96167 b,HD 96167,1.35,,1.85,0.0,1.85,,78.42392824
66,HD 99109 b,HD 99109,1.122,,0.99,0.0,0.99,,121.7991379
67,HIP 5158 b,HIP 5158,0.89,,0.75,0.0,0.75,,127.5308621
68,HIP 56640 b,HIP 56640,3.73,,4.93,0.0,4.93,,81.31084318
69,HR 810 b,HR 810,0.92,,1.13,0.0,1.13,,87.49755874
70,KIC 3526061 b,KIC 3526061,5.14,,5.86,0.0,5.86,,94.26534365
71,KIC 5437945 b,KIC 5437945,1.1455,6.7,1.39,6.7,1.39,22.63939007,88.56596223
72,KIC 9663113 b,KIC 9663113,1.4062,5.8,1.3,5.8,1.3,24.45907808,116.2492858
73,KOI-1783.02,KOI-1783,0.8539,4.4,0.96,4.4,0.96,23.80911657,95.59217268
74,KOI-351 h,KOI-351,0.98,9.8,1.07,9.8,1.07,11.91468121,98.43030938
75,Kapteyn c,Kapteyn,0.311,,0.29,0.0,0.29,,115.2521254
76,Kepler-1040 b,Kepler-1040,0.6291,1.84,0.84,1.84,0.84,49.81798847,80.48722445
77,Kepler-1085 b,Kepler-1085,0.7391,6.43,1.01,6.43,1.01,17.14095937,78.64450452
78,Kepler-1086 c,Kepler-1086,0.4964,2.74,0.61,2.74,0.61,24.294278,87.45577445
79,Kepler-1097 b,Kepler-1097,0.5791,3.12,0.75,3.12,0.75,26.23199942,82.98103621
80,Kepler-1143 c,Kepler-1143,0.605,3.21,0.68,3.21,0.68,23.11684734,95.61653778
81,Kepler-1229 b,Kepler-1229,0.2899,1.12,0.41,1.12,0.41,39.94758769,75.98903175
82,Kepler-1318 b,Kepler-1318,0.599,2.6,0.6,2.6,0.6,25.18271944,107.2907112
83,Kepler-1341 b,Kepler-1341,0.445,1.93,0.59,1.93,0.59,33.35949191,81.05775132
84,Kepler-1519 b,Kepler-1519,0.7509,6.84,0.89,6.84,0.89,14.19902846,90.6731388
85,Kepler-1533 b,Kepler-1533,0.9191,2.36,1.03,2.36,1.03,47.6266403,95.89856168
86,Kepler-1544 b,Kepler-1544,0.5459,1.69,0.71,1.69,0.71,45.8454636,82.63067448
87,Kepler-1545 b,Kepler-1545,0.5634,2.71,0.8,2.71,0.8,32.21405685,75.68562608
88,Kepler-1549 b,Kepler-1549,0.6961,2.71,0.88,2.71,0.88,35.43546254,85.01107612
89,Kepler-1550 b,Kepler-1550,0.7333,2.65,0.96,2.65,0.96,39.53211807,82.09127559
90,Kepler-1552 b,Kepler-1552,0.568,2.17,0.68,2.17,0.68,34.19588938,89.76891481
91,Kepler-1554 b,Kepler-1554,0.6259,2.74,0.76,2.74,0.76,30.26828079,88.50705932
92,Kepler-1593 b,Kepler-1593,0.4836,1.74,0.45,1.74,0.45,28.22201317,115.4942414
93,Kepler-16 b,Kepler-16,0.7048,8.449,0.65,8.449,0.65,8.395233333,116.5303607
94,Kepler-1600 b,Kepler-1600,0.9712,2.96,0.83,2.96,0.83,30.59927284,125.7526464
95,Kepler-1606 b,Kepler-1606,0.6375,1.98,0.82,1.98,0.82,45.19323052,83.55123791
96,Kepler-1625 b,Kepler-1625,0.811,5.4,0.84,5.4,0.84,16.97501829,103.7595597
97,Kepler-1634 b,Kepler-1634,1.0525,4.92,1.35,4.92,1.35,29.94286763,83.78666188
98,Kepler-1636 b,Kepler-1636,1.1546,3.2,1.02,3.2,1.02,34.78363123,121.6516303
99,Kepler-1638 b,Kepler-1638,0.745,1.6,0.83,1.6,0.83,56.60865475,96.46388139
100,Kepler-1661 b,Kepler-1661,0.633,3.87,0.76,3.87,0.76,21.43025565,89.51105377
101,Kepler-1690 b,Kepler-1690,0.7143,2.51,0.83,2.51,0.83,36.08519825,92.48879258
102,Kepler-1701 b,Kepler-1701,0.5689,1.99,0.78,1.99,0.78,42.77265916,78.38408322
103,Kepler-1704 b,Kepler-1704,2.027,11.949,1.7,11.949,1.7,15.5253745,128.141965
104,Kepler-174 d,Kepler-174,0.6448,2.1,0.59,2.1,0.59,30.65896161,117.4517709
105,Kepler-1746 b,Kepler-1746,0.8767,5.06,0.9,5.06,0.9,19.4096059,104.6875532
106,Kepler-1750 b,Kepler-1750,0.678,4.8,0.87,4.8,0.87,19.77892756,83.75234839
107,Kepler-1840 b,Kepler-1840,0.4471,2.55,0.64,2.55,0.64,27.38826481,75.07774987
108,Kepler-186 f,Kepler-186,0.3855,1.18,0.44,1.18,0.44,40.69072181,94.15822394
109,Kepler-1868 b,Kepler-1868,0.608,3.6,0.65,3.6,0.65,19.70314623,100.5256233
110,Kepler-1881 b,Kepler-1881,0.547,2.7,0.76,2.7,0.76,30.71669977,77.34999433
111,Kepler-22 b,Kepler-22,0.805,2.1,0.85,2.1,0.85,44.16969045,101.7802485
112,Kepler-309 c,Kepler-309,0.34966,1.71,0.49,1.71,0.49,31.26977054,76.68959166
113,Kepler-315 c,Kepler-315,0.7584,3.64,0.86,3.64,0.86,25.782308,94.77339214
114,Kepler-34 b,Kepler-34,1.0896,8.564,1.16,8.564,1.16,14.78107618,100.9475208
115,Kepler-419 c,Kepler-419,1.68,,1.74,0.0,1.74,,103.7639715
116,Kepler-421 b,Kepler-421,0.923,4.73,0.79,4.73,0.79,18.22597101,125.5628492
117,Kepler-424 c,Kepler-424,0.73,,0.94,0.0,0.94,,83.46061079
118,Kepler-439 b,Kepler-439,0.5886,2.33,0.78,2.33,0.78,36.53115525,81.09838528
119,Kepler-441 b,Kepler-441,0.64,1.64,0.55,1.64,0.55,36.59683822,125.0557994
120,Kepler-443 b,Kepler-443,0.5594,2.32,0.7,2.32,0.7,32.92568203,85.88374507
121,Kepler-452 b,Kepler-452,1.046,1.63,1.11,1.63,1.11,74.31219664,101.2733691
122,Kepler-453 b,Kepler-453,0.7903,6.204,0.83,6.204,0.83,14.59926622,102.3294033
123,Kepler-47 c,Kepler-47,0.991,4.62,0.96,4.62,0.96,22.67534911,110.9402074
124,Kepler-47 d,Kepler-47,0.6992,7.04,0.94,7.04,0.94,14.57068331,79.93925899
125,Kepler-511 b,Kepler-511,0.854,5.04,0.95,5.04,0.95,20.56921859,96.60971869
126,Kepler-553 c,Kepler-553,0.9084,10.99,0.85,10.99,0.85,8.44006824,114.8536369
127,Kepler-62 f,Kepler-62,0.718,1.41,0.64,1.41,0.64,49.53196827,120.5677128
128,Kepler-68 d,Kepler-68,1.4,,1.24,0.0,1.24,,121.3369021
129,Kepler-69 c,Kepler-69,0.762,1.74,0.9,1.74,0.9,56.44402634,90.99112069
130,Kepler-712 c,Kepler-712,0.682,4.41,0.72,4.41,0.72,17.81634573,101.7978089
131,Kepler-87 c,Kepler-87,1.3423,4.96,1.29,4.96,1.29,28.38133099,111.8269377
132,Kepler-967 c,Kepler-967,0.568,2.86,0.63,2.86,0.63,24.03805038,96.89343186
133,PH2 b,PH2,0.836,8.98,0.91,8.98,0.91,11.05833597,98.73052293
134,WASP-47 c,WASP-47,1.36,,1.15,0.0,1.15,,127.0947526
